date,family,holiday_type,unit_sales,onpromotion,perishable,day,month,dayofweek,is_weekend,lag_7,lag_14,rolling_7
2014-04-01,AUTOMOTIVE,holiday,51.0,0.0,0.0,1,4,1,0,,,
2014-04-01,"LIQUOR,WINE,BEER",holiday,555.0,0.0,0.0,1,4,1,0,,,
2014-04-01,HOME APPLIANCES,holiday,11.0,0.0,0.0,1,4,1,0,,,
2014-04-01,MEATS,holiday,3123.482,0.0,1.0,1,4,1,0,,,
2014-04-01,HARDWARE,holiday,10.0,0.0,0.0,1,4,1,0,,,
2014-04-01,PERSONAL CARE,holiday,3022.0,0.0,0.0,1,4,1,0,,,
2014-04-01,BEAUTY,holiday,44.0,0.0,0.0,1,4,1,0,,,
2014-04-01,GROCERY II,holiday,158.0,0.0,0.0,1,4,1,0,,,
2014-04-01,GROCERY I,holiday,40041.0,0.0002313208420078649,0.0,1,4,1,0,,,
2014-04-01,LINGERIE,holiday,113.0,0.0,0.0,1,4,1,0,,,
2014-04-01,FROZEN FOODS,holiday,1215.9,0.0,0.0,1,4,1,0,,,
2014-04-01,POULTRY,holiday,4422.729,0.0,1.0,1,4,1,0,,,
2014-04-01,SEAFOOD,holiday,181.704,0.0,1.0,1,4,1,0,,,
2014-04-01,DELI,holiday,2457.978,0.0,1.0,1,4,1,0,,,
2014-04-01,BEVERAGES,holiday,13310.0,0.0,0.0,1,4,1,0,,,
2014-04-01,DAIRY,holiday,7690.0,0.0,1.0,1,4,1,0,,,
2014-04-01,PREPARED FOODS,holiday,895.578,0.0,1.0,1,4,1,0,,,
2014-04-01,CLEANING,holiday,11362.0,0.0006009615384615385,0.0,1,4,1,0,,,
2014-04-01,PRODUCE,holiday,11.0,0.0,1.0,1,4,1,0,,,
2014-04-01,EGGS,holiday,1441.0,0.0,1.0,1,4,1,0,,,
2014-04-01,LAWN AND GARDEN,holiday,47.0,0.0,0.0,1,4,1,0,,,
2014-04-01,BREAD/BAKERY,holiday,4588.895,0.0,1.0,1,4,1,0,,,
2014-04-02,PRODUCE,work day,28.0,0.0,1.0,2,4,2,0,,,
2014-04-02,EGGS,work day,1880.0,0.0,1.0,2,4,2,0,,,
2014-04-02,AUTOMOTIVE,work day,62.0,0.0,0.0,2,4,2,0,,,
2014-04-02,DAIRY,work day,8061.0,0.0,1.0,2,4,2,0,,,
2014-04-02,GROCERY I,work day,38863.0,0.0,0.0,2,4,2,0,,,
2014-04-02,LINGERIE,work day,79.0,0.0,0.0,2,4,2,0,,,
2014-04-02,HARDWARE,work day,9.0,0.0,0.0,2,4,2,0,,,
2014-04-02,PERSONAL CARE,work day,3623.0,0.0,0.0,2,4,2,0,,,
2014-04-02,LAWN AND GARDEN,work day,41.0,0.0,0.0,2,4,2,0,,,
2014-04-02,DELI,work day,2360.435,0.0,1.0,2,4,2,0,,,
2014-04-02,GROCERY II,work day,268.0,0.0,0.0,2,4,2,0,,,
2014-04-02,BEVERAGES,work day,13112.0,0.0,0.0,2,4,2,0,,,
2014-04-02,SEAFOOD,work day,183.77700000000002,0.0,1.0,2,4,2,0,,,
2014-04-02,"LIQUOR,WINE,BEER",work day,644.0,0.0,0.0,2,4,2,0,,,
2014-04-02,CLEANING,work day,12381.0,0.0,0.0,2,4,2,0,,,
2014-04-02,MEATS,work day,3858.097,0.0,1.0,2,4,2,0,,,
2014-04-02,PREPARED FOODS,work day,1052.477,0.0,1.0,2,4,2,0,,,
2014-04-02,BREAD/BAKERY,work day,4224.719,0.0,1.0,2,4,2,0,,,
2014-04-02,BEAUTY,work day,21.0,0.0,0.0,2,4,2,0,,,
2014-04-02,FROZEN FOODS,work day,1227.497,0.0,0.0,2,4,2,0,,,
2014-04-02,POULTRY,work day,3897.405,0.0,1.0,2,4,2,0,,,
2014-04-03,LAWN AND GARDEN,work day,15.0,0.0,0.0,3,4,3,0,,,
2014-04-03,MEATS,work day,3951.9557,0.02142857142857143,1.0,3,4,3,0,,,
2014-04-03,LINGERIE,work day,89.0,0.0,0.0,3,4,3,0,,,
2014-04-03,EGGS,work day,1483.0,0.03468208092485549,1.0,3,4,3,0,,,
2014-04-03,BEAUTY,work day,27.0,0.0,0.0,3,4,3,0,,,
2014-04-03,HOME APPLIANCES,work day,4.0,0.0,0.0,3,4,3,0,,,
2014-04-03,GROCERY II,work day,219.0,0.0,0.0,3,4,3,0,,,
2014-04-03,BEVERAGES,work day,10721.0,0.0,0.0,3,4,3,0,,,
2014-04-03,BREAD/BAKERY,work day,3463.523,0.0,1.0,3,4,3,0,,,
2014-04-03,PRODUCE,work day,22.0,0.0,1.0,3,4,3,0,,,
2014-04-03,"LIQUOR,WINE,BEER",work day,616.0,0.0,0.0,3,4,3,0,,,
2014-04-03,AUTOMOTIVE,work day,55.0,0.0,0.0,3,4,3,0,,,
2014-04-03,CLEANING,work day,9395.0,0.0,0.0,3,4,3,0,,,
2014-04-03,PREPARED FOODS,work day,683.211,0.0,1.0,3,4,3,0,,,
2014-04-03,FROZEN FOODS,work day,920.261,0.0,0.0,3,4,3,0,,,
2014-04-03,POULTRY,work day,3377.4816,0.022727272727272728,1.0,3,4,3,0,,,
2014-04-03,PERSONAL CARE,work day,2543.0,0.0,0.0,3,4,3,0,,,
2014-04-03,SEAFOOD,work day,239.472,0.0,1.0,3,4,3,0,,,
2014-04-03,DAIRY,work day,6434.0,0.0,1.0,3,4,3,0,,,
2014-04-03,GROCERY I,work day,32530.0,0.0,0.0,3,4,3,0,,,
2014-04-03,HARDWARE,work day,10.0,0.0,0.0,3,4,3,0,,,
2014-04-03,DELI,work day,2343.0528,0.02857142857142857,1.0,3,4,3,0,,,
2014-04-04,DELI,work day,2162.6259,0.0,1.0,4,4,4,0,,,
2014-04-04,LAWN AND GARDEN,work day,46.0,0.0,0.0,4,4,4,0,,,
2014-04-04,FROZEN FOODS,work day,1086.974,0.0,0.0,4,4,4,0,,,
2014-04-04,DAIRY,work day,6751.0,0.0,1.0,4,4,4,0,,,
2014-04-04,PREPARED FOODS,work day,1001.524,0.0,1.0,4,4,4,0,,,
2014-04-04,PRODUCE,work day,51.0,0.0,1.0,4,4,4,0,,,
2014-04-04,HOME APPLIANCES,work day,7.0,0.0,0.0,4,4,4,0,,,
2014-04-04,BEVERAGES,work day,14045.0,0.0,0.0,4,4,4,0,,,
2014-04-04,LINGERIE,work day,59.0,0.0,0.0,4,4,4,0,,,
2014-04-04,AUTOMOTIVE,work day,50.0,0.0,0.0,4,4,4,0,,,
2014-04-04,BREAD/BAKERY,work day,3649.386,0.0,1.0,4,4,4,0,,,
2014-04-04,"LIQUOR,WINE,BEER",work day,1364.0,0.0,0.0,4,4,4,0,,,
2014-04-04,BEAUTY,work day,20.0,0.0,0.0,4,4,4,0,,,
2014-04-04,HARDWARE,work day,6.0,0.0,0.0,4,4,4,0,,,
2014-04-04,POULTRY,work day,4091.7847,0.0,1.0,4,4,4,0,,,
2014-04-04,GROCERY II,work day,186.0,0.0,0.0,4,4,4,0,,,
2014-04-04,EGGS,work day,1503.0,0.0,1.0,4,4,4,0,,,
2014-04-04,SEAFOOD,work day,304.7309,0.0,1.0,4,4,4,0,,,
2014-04-04,PERSONAL CARE,work day,2352.0,0.0,0.0,4,4,4,0,,,
2014-04-04,MEATS,work day,3805.686,0.0,1.0,4,4,4,0,,,
2014-04-04,GROCERY I,work day,32404.0,0.0,0.0,4,4,4,0,,,
2014-04-04,CLEANING,work day,9146.0,0.0012861736334405145,0.0,4,4,4,0,,,
2014-04-05,HARDWARE,work day,11.0,0.0,0.0,5,4,5,1,,,
2014-04-05,FROZEN FOODS,work day,2317.5009999999997,0.0,0.0,5,4,5,1,,,
